Rainfall - (MM), Year, Statistics, Country, ISO3
74.7727, 1911, Sep Average, United Kingdom, GBR
107.648, 1911, Oct Average, United Kingdom, GBR
154.891, 1911, Nov Average, United Kingdom, GBR
197.284, 1911, Dec Average, United Kingdom, GBR
121.993, 1912, Jan Average, United Kingdom, GBR
87.6522, 1912, Feb Average, United Kingdom, GBR
130.892, 1912, Mar Average, United Kingdom, GBR
34.8955, 1912, Apr Average, United Kingdom, GBR
63.0699, 1912, May Average, United Kingdom, GBR
128.751, 1912, Jun Average, United Kingdom, GBR
94.84, 1912, Jul Average, United Kingdom, GBR
168.104, 1912, Aug Average, United Kingdom, GBR
62.3123, 1912, Sep Average, United Kingdom, GBR
126.398, 1912, Oct Average, United Kingdom, GBR
113.669, 1912, Nov Average, United Kingdom, GBR
159.543, 1912, Dec Average, United Kingdom, GBR
132.811, 1913, Jan Average, United Kingdom, GBR
57.5985, 1913, Feb Average, United Kingdom, GBR
141.895, 1913, Mar Average, United Kingdom, GBR
101.139, 1913, Apr Average, United Kingdom, GBR
84.7516, 1913, May Average, United Kingdom, GBR
63.4467, 1913, Jun Average, United Kingdom, GBR
32.718, 1913, Jul Average, United Kingdom, GBR
47.3034, 1913, Aug Average, United Kingdom, GBR
85.1431, 1913, Sep Average, United Kingdom, GBR
106.655, 1913, Oct Average, United Kingdom, GBR
124.635, 1913, Nov Average, United Kingdom, GBR
95.6586, 1913, Dec Average, United Kingdom, GBR
87.1866, 1914, Jan Average, United Kingdom, GBR
113.129, 1914, Feb Average, United Kingdom, GBR
136.967, 1914, Mar Average, United Kingdom, GBR
54.4347, 1914, Apr Average, United Kingdom, GBR
63.2545, 1914, May Average, United Kingdom, GBR
54.9327, 1914, Jun Average, United Kingdom, GBR
100.643, 1914, Jul Average, United Kingdom, GBR
86.2392, 1914, Aug Average, United Kingdom, GBR
64.9488, 1914, Sep Average, United Kingdom, GBR
70.7617, 1914, Oct Average, United Kingdom, GBR
150.934, 1914, Nov Average, United Kingdom, GBR
214.624, 1914, Dec Average, United Kingdom, GBR
130.066, 1915, Jan Average, United Kingdom, GBR
144.589, 1915, Feb Average, United Kingdom, GBR
63.9441, 1915, Mar Average, United Kingdom, GBR
65.7191, 1915, Apr Average, United Kingdom, GBR
56.6132, 1915, May Average, United Kingdom, GBR
40.7194, 1915, Jun Average, United Kingdom, GBR
131.251, 1915, Jul Average, United Kingdom, GBR
84.9947, 1915, Aug Average, United Kingdom, GBR
69.2774, 1915, Sep Average, United Kingdom, GBR
82.2976, 1915, Oct Average, United Kingdom, GBR
90.8563, 1915, Nov Average, United Kingdom, GBR
211.543, 1915, Dec Average, United Kingdom, GBR
111.155, 1916, Jan Average, United Kingdom, GBR
151.598, 1916, Feb Average, United Kingdom, GBR
103.085, 1916, Mar Average, United Kingdom, GBR
73.1443, 1916, Apr Average, United Kingdom, GBR
101.616, 1916, May Average, United Kingdom, GBR
84.9343, 1916, Jun Average, United Kingdom, GBR
77.6324, 1916, Jul Average, United Kingdom, GBR
95.4969, 1916, Aug Average, United Kingdom, GBR
59.3511, 1916, Sep Average, United Kingdom, GBR
186.111, 1916, Oct Average, United Kingdom, GBR
137.181, 1916, Nov Average, United Kingdom, GBR
125.407, 1916, Dec Average, United Kingdom, GBR
86.3444, 1917, Jan Average, United Kingdom, GBR
40.1053, 1917, Feb Average, United Kingdom, GBR
83.8082, 1917, Mar Average, United Kingdom, GBR
65.6638, 1917, Apr Average, United Kingdom, GBR
75.3239, 1917, May Average, United Kingdom, GBR
75.5242, 1917, Jun Average, United Kingdom, GBR
63.5256, 1917, Jul Average, United Kingdom, GBR
167.298, 1917, Aug Average, United Kingdom, GBR
77.1138, 1917, Sep Average, United Kingdom, GBR
181.356, 1917, Oct Average, United Kingdom, GBR
133.896, 1917, Nov Average, United Kingdom, GBR
73.142, 1917, Dec Average, United Kingdom, GBR
118.496, 1918, Jan Average, United Kingdom, GBR
113.159, 1918, Feb Average, United Kingdom, GBR
47.4778, 1918, Mar Average, United Kingdom, GBR
51.7881, 1918, Apr Average, United Kingdom, GBR
73.2249, 1918, May Average, United Kingdom, GBR
46.489, 1918, Jun Average, United Kingdom, GBR
130.741, 1918, Jul Average, United Kingdom, GBR
89.2016, 1918, Aug Average, United Kingdom, GBR
202.317, 1918, Sep Average, United Kingdom, GBR
113.118, 1918, Oct Average, United Kingdom, GBR
97.6862, 1918, Nov Average, United Kingdom, GBR
150.228, 1918, Dec Average, United Kingdom, GBR
137.87, 1919, Jan Average, United Kingdom, GBR
66.6592, 1919, Feb Average, United Kingdom, GBR
129.422, 1919, Mar Average, United Kingdom, GBR
86.3953, 1919, Apr Average, United Kingdom, GBR
32.0342, 1919, May Average, United Kingdom, GBR
70.2222, 1919, Jun Average, United Kingdom, GBR
51.5251, 1919, Jul Average, United Kingdom, GBR
93.8157, 1919, Aug Average, United Kingdom, GBR
88.4452, 1919, Sep Average, United Kingdom, GBR
86.2381, 1919, Oct Average, United Kingdom, GBR
120.331, 1919, Nov Average, United Kingdom, GBR
180.927, 1919, Dec Average, United Kingdom, GBR
148.722, 1920, Jan Average, United Kingdom, GBR
102.935, 1920, Feb Average, United Kingdom, GBR
119.675, 1920, Mar Average, United Kingdom, GBR
106.642, 1920, Apr Average, United Kingdom, GBR
102.737, 1920, May Average, United Kingdom, GBR
67.677, 1920, Jun Average, United Kingdom, GBR
129.091, 1920, Jul Average, United Kingdom, GBR
79.3952, 1920, Aug Average, United Kingdom, GBR
84.1291, 1920, Sep Average, United Kingdom, GBR
85.0549, 1920, Oct Average, United Kingdom, GBR
90.2469, 1920, Nov Average, United Kingdom, GBR
116.106, 1920, Dec Average, United Kingdom, GBR
161.395, 1921, Jan Average, United Kingdom, GBR
27.092, 1921, Feb Average, United Kingdom, GBR
109.941, 1921, Mar Average, United Kingdom, GBR
39.3432, 1921, Apr Average, United Kingdom, GBR
66.3308, 1921, May Average, United Kingdom, GBR
19.9825, 1921, Jun Average, United Kingdom, GBR
62.1662, 1921, Jul Average, United Kingdom, GBR
116.527, 1921, Aug Average, United Kingdom, GBR
60.8332, 1921, Sep Average, United Kingdom, GBR
93.1192, 1921, Oct Average, United Kingdom, GBR
82.1095, 1921, Nov Average, United Kingdom, GBR
136.888, 1921, Dec Average, United Kingdom, GBR
139.824, 1922, Jan Average, United Kingdom, GBR
120.94, 1922, Feb Average, United Kingdom, GBR
77.7627, 1922, Mar Average, United Kingdom, GBR
91.1294, 1922, Apr Average, United Kingdom, GBR
63.7048, 1922, May Average, United Kingdom, GBR
56.0147, 1922, Jun Average, United Kingdom, GBR
122.621, 1922, Jul Average, United Kingdom, GBR
106.588, 1922, Aug Average, United Kingdom, GBR
91.052, 1922, Sep Average, United Kingdom, GBR
50.8593, 1922, Oct Average, United Kingdom, GBR
70.8275, 1922, Nov Average, United Kingdom, GBR
136.38, 1922, Dec Average, United Kingdom, GBR
108.267, 1923, Jan Average, United Kingdom, GBR
165.617, 1923, Feb Average, United Kingdom, GBR
55.5104, 1923, Mar Average, United Kingdom, GBR
82.6936, 1923, Apr Average, United Kingdom, GBR
86.0729, 1923, May Average, United Kingdom, GBR
35.3163, 1923, Jun Average, United Kingdom, GBR
100.19, 1923, Jul Average, United Kingdom, GBR
139.039, 1923, Aug Average, United Kingdom, GBR
121.316, 1923, Sep Average, United Kingdom, GBR
164.039, 1923, Oct Average, United Kingdom, GBR
128.675, 1923, Nov Average, United Kingdom, GBR
136.764, 1923, Dec Average, United Kingdom, GBR
117.399, 1924, Jan Average, United Kingdom, GBR
43.7551, 1924, Feb Average, United Kingdom, GBR
43.5747, 1924, Mar Average, United Kingdom, GBR
76.0033, 1924, Apr Average, United Kingdom, GBR
127.397, 1924, May Average, United Kingdom, GBR
78.1341, 1924, Jun Average, United Kingdom, GBR
130.069, 1924, Jul Average, United Kingdom, GBR
123.357, 1924, Aug Average, United Kingdom, GBR
145.557, 1924, Sep Average, United Kingdom, GBR
136.708, 1924, Oct Average, United Kingdom, GBR
87.7128, 1924, Nov Average, United Kingdom, GBR
164.243, 1924, Dec Average, United Kingdom, GBR
108.329, 1925, Jan Average, United Kingdom, GBR
149.878, 1925, Feb Average, United Kingdom, GBR
59.1443, 1925, Mar Average, United Kingdom, GBR
94.5929, 1925, Apr Average, United Kingdom, GBR
121.616, 1925, May Average, United Kingdom, GBR
14.3271, 1925, Jun Average, United Kingdom, GBR
83.0441, 1925, Jul Average, United Kingdom, GBR
90.6761, 1925, Aug Average, United Kingdom, GBR
120.553, 1925, Sep Average, United Kingdom, GBR
121.452, 1925, Oct Average, United Kingdom, GBR
73.0479, 1925, Nov Average, United Kingdom, GBR
125.935, 1925, Dec Average, United Kingdom, GBR
148.464, 1926, Jan Average, United Kingdom, GBR
109.506, 1926, Feb Average, United Kingdom, GBR
63.1417, 1926, Mar Average, United Kingdom, GBR
71.5015, 1926, Apr Average, United Kingdom, GBR
83.1764, 1926, May Average, United Kingdom, GBR
81.6082, 1926, Jun Average, United Kingdom, GBR
84.0719, 1926, Jul Average, United Kingdom, GBR
89.1695, 1926, Aug Average, United Kingdom, GBR
93.5771, 1926, Sep Average, United Kingdom, GBR
139.785, 1926, Oct Average, United Kingdom, GBR
175.165, 1926, Nov Average, United Kingdom, GBR
51.868, 1926, Dec Average, United Kingdom, GBR
132.188, 1927, Jan Average, United Kingdom, GBR
81.7032, 1927, Feb Average, United Kingdom, GBR
104.635, 1927, Mar Average, United Kingdom, GBR
84.6482, 1927, Apr Average, United Kingdom, GBR
56.6884, 1927, May Average, United Kingdom, GBR
115.906, 1927, Jun Average, United Kingdom, GBR
101.219, 1927, Jul Average, United Kingdom, GBR
141.862, 1927, Aug Average, United Kingdom, GBR
178.243, 1927, Sep Average, United Kingdom, GBR
120.542, 1927, Oct Average, United Kingdom, GBR
125.83, 1927, Nov Average, United Kingdom, GBR
81.8644, 1927, Dec Average, United Kingdom, GBR
219.576, 1928, Jan Average, United Kingdom, GBR
109.198, 1928, Feb Average, United Kingdom, GBR
106.984, 1928, Mar Average, United Kingdom, GBR
48.5326, 1928, Apr Average, United Kingdom, GBR
45.6782, 1928, May Average, United Kingdom, GBR
118.384, 1928, Jun Average, United Kingdom, GBR
73.6915, 1928, Jul Average, United Kingdom, GBR
115.075, 1928, Aug Average, United Kingdom, GBR
68.3831, 1928, Sep Average, United Kingdom, GBR
174.75, 1928, Oct Average, United Kingdom, GBR
150.647, 1928, Nov Average, United Kingdom, GBR
116.228, 1928, Dec Average, United Kingdom, GBR
56.8963, 1929, Jan Average, United Kingdom, GBR
44.7424, 1929, Feb Average, United Kingdom, GBR
17.6842, 1929, Mar Average, United Kingdom, GBR
45.3471, 1929, Apr Average, United Kingdom, GBR
74.5358, 1929, May Average, United Kingdom, GBR
66.0864, 1929, Jun Average, United Kingdom, GBR
84.1803, 1929, Jul Average, United Kingdom, GBR
119.306, 1929, Aug Average, United Kingdom, GBR
47.025, 1929, Sep Average, United Kingdom, GBR
162.423, 1929, Oct Average, United Kingdom, GBR
193.023, 1929, Nov Average, United Kingdom, GBR
228.79, 1929, Dec Average, United Kingdom, GBR
158.957, 1930, Jan Average, United Kingdom, GBR
27.6996, 1930, Feb Average, United Kingdom, GBR
84.5813, 1930, Mar Average, United Kingdom, GBR
69.1218, 1930, Apr Average, United Kingdom, GBR
60.307, 1930, May Average, United Kingdom, GBR
57.4237, 1930, Jun Average, United Kingdom, GBR
106.198, 1930, Jul Average, United Kingdom, GBR
150.682, 1930, Aug Average, United Kingdom, GBR
129.377, 1930, Sep Average, United Kingdom, GBR
153.113, 1930, Oct Average, United Kingdom, GBR
155.666, 1930, Nov Average, United Kingdom, GBR
127.296, 1930, Dec Average, United Kingdom, GBR
121.251, 1931, Jan Average, United Kingdom, GBR
108.189, 1931, Feb Average, United Kingdom, GBR
35.1487, 1931, Mar Average, United Kingdom, GBR
89.2435, 1931, Apr Average, United Kingdom, GBR
104.554, 1931, May Average, United Kingdom, GBR
119.125, 1931, Jun Average, United Kingdom, GBR
117.988, 1931, Jul Average, United Kingdom, GBR
102.372, 1931, Aug Average, United Kingdom, GBR
75.5582, 1931, Sep Average, United Kingdom, GBR
73.9263, 1931, Oct Average, United Kingdom, GBR
173.234, 1931, Nov Average, United Kingdom, GBR
86.0301, 1931, Dec Average, United Kingdom, GBR
143.488, 1932, Jan Average, United Kingdom, GBR
11.1214, 1932, Feb Average, United Kingdom, GBR
82.6413, 1932, Mar Average, United Kingdom, GBR
104.468, 1932, Apr Average, United Kingdom, GBR
111.057, 1932, May Average, United Kingdom, GBR
37.0033, 1932, Jun Average, United Kingdom, GBR
118.856, 1932, Jul Average, United Kingdom, GBR
62.0617, 1932, Aug Average, United Kingdom, GBR
117.939, 1932, Sep Average, United Kingdom, GBR
197.718, 1932, Oct Average, United Kingdom, GBR
93.5955, 1932, Nov Average, United Kingdom, GBR
113.72, 1932, Dec Average, United Kingdom, GBR
104.682, 1933, Jan Average, United Kingdom, GBR
117.608, 1933, Feb Average, United Kingdom, GBR
81.6842, 1933, Mar Average, United Kingdom, GBR
56.3787, 1933, Apr Average, United Kingdom, GBR
62.4958, 1933, May Average, United Kingdom, GBR
62.3273, 1933, Jun Average, United Kingdom, GBR
82.7522, 1933, Jul Average, United Kingdom, GBR
65.5046, 1933, Aug Average, United Kingdom, GBR
49.8547, 1933, Sep Average, United Kingdom, GBR
133.618, 1933, Oct Average, United Kingdom, GBR
67.474, 1933, Nov Average, United Kingdom, GBR
44.8099, 1933, Dec Average, United Kingdom, GBR
120.065, 1934, Jan Average, United Kingdom, GBR
21.8538, 1934, Feb Average, United Kingdom, GBR
87.51, 1934, Mar Average, United Kingdom, GBR
96.9365, 1934, Apr Average, United Kingdom, GBR
68.9439, 1934, May Average, United Kingdom, GBR
55.9296, 1934, Jun Average, United Kingdom, GBR
72.3043, 1934, Jul Average, United Kingdom, GBR
109.421, 1934, Aug Average, United Kingdom, GBR
108.449, 1934, Sep Average, United Kingdom, GBR
143.091, 1934, Oct Average, United Kingdom, GBR
65.8813, 1934, Nov Average, United Kingdom, GBR
196.49, 1934, Dec Average, United Kingdom, GBR
72.4093, 1935, Jan Average, United Kingdom, GBR
130.786, 1935, Feb Average, United Kingdom, GBR
50.9314, 1935, Mar Average, United Kingdom, GBR
107.466, 1935, Apr Average, United Kingdom, GBR
34.5688, 1935, May Average, United Kingdom, GBR
104.122, 1935, Jun Average, United Kingdom, GBR
45.9234, 1935, Jul Average, United Kingdom, GBR
80.387, 1935, Aug Average, United Kingdom, GBR
170.067, 1935, Sep Average, United Kingdom, GBR
193.408, 1935, Oct Average, United Kingdom, GBR
163.355, 1935, Nov Average, United Kingdom, GBR
108.331, 1935, Dec Average, United Kingdom, GBR
143.703, 1936, Jan Average, United Kingdom, GBR
82.5794, 1936, Feb Average, United Kingdom, GBR
74.1581, 1936, Mar Average, United Kingdom, GBR
50.1011, 1936, Apr Average, United Kingdom, GBR
45.5644, 1936, May Average, United Kingdom, GBR
86.5478, 1936, Jun Average, United Kingdom, GBR
145.015, 1936, Jul Average, United Kingdom, GBR
57.1848, 1936, Aug Average, United Kingdom, GBR
111.198, 1936, Sep Average, United Kingdom, GBR
101.482, 1936, Oct Average, United Kingdom, GBR
115.96, 1936, Nov Average, United Kingdom, GBR
138.994, 1936, Dec Average, United Kingdom, GBR
161.202, 1937, Jan Average, United Kingdom, GBR
152.523, 1937, Feb Average, United Kingdom, GBR
89.1653, 1937, Mar Average, United Kingdom, GBR
73.8096, 1937, Apr Average, United Kingdom, GBR
73.3501, 1937, May Average, United Kingdom, GBR
62.9737, 1937, Jun Average, United Kingdom, GBR
92.5449, 1937, Jul Average, United Kingdom, GBR
73.4152, 1937, Aug Average, United Kingdom, GBR
81.7463, 1937, Sep Average, United Kingdom, GBR
98.5642, 1937, Oct Average, United Kingdom, GBR
50.8093, 1937, Nov Average, United Kingdom, GBR
112.076, 1937, Dec Average, United Kingdom, GBR
157.601, 1938, Jan Average, United Kingdom, GBR
62.9714, 1938, Feb Average, United Kingdom, GBR
62.7113, 1938, Mar Average, United Kingdom, GBR
15.4294, 1938, Apr Average, United Kingdom, GBR
90.1097, 1938, May Average, United Kingdom, GBR
101.412, 1938, Jun Average, United Kingdom, GBR
113.015, 1938, Jul Average, United Kingdom, GBR
90.9989, 1938, Aug Average, United Kingdom, GBR
92.2687, 1938, Sep Average, United Kingdom, GBR
188.075, 1938, Oct Average, United Kingdom, GBR
172.445, 1938, Nov Average, United Kingdom, GBR
130.592, 1938, Dec Average, United Kingdom, GBR
163.862, 1939, Jan Average, United Kingdom, GBR
102.229, 1939, Feb Average, United Kingdom, GBR
88.3199, 1939, Mar Average, United Kingdom, GBR
65.6486, 1939, Apr Average, United Kingdom, GBR
36.8013, 1939, May Average, United Kingdom, GBR
66.259, 1939, Jun Average, United Kingdom, GBR
136.892, 1939, Jul Average, United Kingdom, GBR
71.5512, 1939, Aug Average, United Kingdom, GBR
54.8216, 1939, Sep Average, United Kingdom, GBR
121.526, 1939, Oct Average, United Kingdom, GBR
182.589, 1939, Nov Average, United Kingdom, GBR
83.6187, 1939, Dec Average, United Kingdom, GBR
84.4697, 1940, Jan Average, United Kingdom, GBR
77.852, 1940, Feb Average, United Kingdom, GBR
110.335, 1940, Mar Average, United Kingdom, GBR
77.2249, 1940, Apr Average, United Kingdom, GBR
47.9767, 1940, May Average, United Kingdom, GBR
30.6548, 1940, Jun Average, United Kingdom, GBR
128.741, 1940, Jul Average, United Kingdom, GBR
43.5026, 1940, Aug Average, United Kingdom, GBR
79.3793, 1940, Sep Average, United Kingdom, GBR
143.955, 1940, Oct Average, United Kingdom, GBR
206.487, 1940, Nov Average, United Kingdom, GBR
120.332, 1940, Dec Average, United Kingdom, GBR
86.6824, 1941, Jan Average, United Kingdom, GBR
116.33, 1941, Feb Average, United Kingdom, GBR
95.0615, 1941, Mar Average, United Kingdom, GBR
53.1124, 1941, Apr Average, United Kingdom, GBR
66.7529, 1941, May Average, United Kingdom, GBR
32.5922, 1941, Jun Average, United Kingdom, GBR
92.2911, 1941, Jul Average, United Kingdom, GBR
138.258, 1941, Aug Average, United Kingdom, GBR
38.9863, 1941, Sep Average, United Kingdom, GBR
126.05, 1941, Oct Average, United Kingdom, GBR
119.748, 1941, Nov Average, United Kingdom, GBR
77.1947, 1941, Dec Average, United Kingdom, GBR
148.224, 1942, Jan Average, United Kingdom, GBR
57.4851, 1942, Feb Average, United Kingdom, GBR
76.9488, 1942, Mar Average, United Kingdom, GBR
52.1814, 1942, Apr Average, United Kingdom, GBR
99.885, 1942, May Average, United Kingdom, GBR
34.3443, 1942, Jun Average, United Kingdom, GBR
94.318, 1942, Jul Average, United Kingdom, GBR
117.875, 1942, Aug Average, United Kingdom, GBR
115.12, 1942, Sep Average, United Kingdom, GBR
138.951, 1942, Oct Average, United Kingdom, GBR
47.2307, 1942, Nov Average, United Kingdom, GBR
146.165, 1942, Dec Average, United Kingdom, GBR
161.212, 1943, Jan Average, United Kingdom, GBR
88.3305, 1943, Feb Average, United Kingdom, GBR
48.6216, 1943, Mar Average, United Kingdom, GBR
67.9155, 1943, Apr Average, United Kingdom, GBR
97.4284, 1943, May Average, United Kingdom, GBR
76.8566, 1943, Jun Average, United Kingdom, GBR
67.9599, 1943, Jul Average, United Kingdom, GBR
122.373, 1943, Aug Average, United Kingdom, GBR
110.391, 1943, Sep Average, United Kingdom, GBR
142.613, 1943, Oct Average, United Kingdom, GBR
92.9834, 1943, Nov Average, United Kingdom, GBR
68.44, 1943, Dec Average, United Kingdom, GBR
123.656, 1944, Jan Average, United Kingdom, GBR
58.7864, 1944, Feb Average, United Kingdom, GBR
32.5134, 1944, Mar Average, United Kingdom, GBR
71.1017, 1944, Apr Average, United Kingdom, GBR
66.3777, 1944, May Average, United Kingdom, GBR
87.0112, 1944, Jun Average, United Kingdom, GBR
79.9391, 1944, Jul Average, United Kingdom, GBR
88.523, 1944, Aug Average, United Kingdom, GBR
134.856, 1944, Sep Average, United Kingdom, GBR
146.09, 1944, Oct Average, United Kingdom, GBR
182.39, 1944, Nov Average, United Kingdom, GBR
118.379, 1944, Dec Average, United Kingdom, GBR
114.032, 1945, Jan Average, United Kingdom, GBR
121.792, 1945, Feb Average, United Kingdom, GBR
56.6437, 1945, Mar Average, United Kingdom, GBR
54.0993, 1945, Apr Average, United Kingdom, GBR
105.794, 1945, May Average, United Kingdom, GBR
98.5013, 1945, Jun Average, United Kingdom, GBR
89.3032, 1945, Jul Average, United Kingdom, GBR
74.3614, 1945, Aug Average, United Kingdom, GBR
102.405, 1945, Sep Average, United Kingdom, GBR
134.558, 1945, Oct Average, United Kingdom, GBR
27.7692, 1945, Nov Average, United Kingdom, GBR
134.563, 1945, Dec Average, United Kingdom, GBR
127.405, 1946, Jan Average, United Kingdom, GBR
103.061, 1946, Feb Average, United Kingdom, GBR
57.5963, 1946, Mar Average, United Kingdom, GBR
49.8508, 1946, Apr Average, United Kingdom, GBR
65.9903, 1946, May Average, United Kingdom, GBR
97.3793, 1946, Jun Average, United Kingdom, GBR
105.451, 1946, Jul Average, United Kingdom, GBR
139.088, 1946, Aug Average, United Kingdom, GBR
154.565, 1946, Sep Average, United Kingdom, GBR
35.61, 1946, Oct Average, United Kingdom, GBR
